Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-05-06,19,10.1101/2025.05.15.654307,2,biochemistry,Entry Steps in the Biosynthetic Pathway to DiterpenoidAlkaloids,"Miller, G. P.; Mutabdzija-Nedelcheva, L.; Andersen, T.; Pascoe, I.; Van Winkle, K.; Sabbaghan, M.; Bouille, A.; Ilias, T.; Tekel, A.; Pluskal, T.; Hamberger, B."
2026-05-06,19,10.64898/2026.02.26.708161,3,bioengineering,Tomographic Printing in a Chip: A Versatile Platform for Biomimetic 3D Organ-on-Chip,"RIZZO, R.; Sgarminato, V.; Wechsler, F.; Moser, C."
2026-05-06,19,10.1101/2025.10.10.681656,4,bioinformatics,"DupyliCate: mining, classifying, and characterizing gene duplications","Natarajan, S.; Pucker, B."
2026-05-06,19,10.64898/2026.05.05.722798,1,bioinformatics,"ArchaicSeeker 3.0: A deep-learning framework for scalable, haplotype-resolved inference of archaic introgression","Wang, B.; Lei, C.; Lin, H.; Shi, S.; Ma, X.; Zeng, W.; Yuan, K.; Ni, X.; Xu, S."
2026-05-06,19,10.1101/2025.07.06.663362,2,microbiology,Extracellular RNA drives Electromethanogenesis in a Methanogenic Archaeon,"Kotoky, R.; Ajunwa, O. M.; Kawaichi, S.; Beyenal, H.; Babauta, J. T.; Meyer, R. L.; Rotaru, A.-E."
2026-05-06,19,10.1101/2025.10.03.680352,2,biophysics,T Cells Tear Apart Confining Extracellular Matrix Via a Breaststroke-like Motion to Generate Migration Paths,"Ha, B.; Xie, P.; Johns, B.; Allan, C.; Korah, M.; Delitto, D.; Bollyky, P.; Torok, N.; Chaudhuri, O."
2026-05-06,19,10.64898/2026.04.30.721843,1,pharmacology and toxicology,The redesign of the molecular scaffold of viral ion channel blockers,"Zsido, B.; Mernyak, E.; Földes, F.; Kopasz, Z.; Leiner, K.; Madai, M.; Zana, B.; Kuczmog, A.; Hetenyi, C."
2026-05-04,19,10.64898/2026.04.27.720343,2,microbiology,Laccase-mediated biotransformation potential for fluorinated compounds by geographically diverse human gut microbiota,"Schaerer, M. R.; Yu, Y.; Grawe, A.; Christensen, J. K.; Robinson, S. L.; Bokulich, N. A."
2026-05-04,19,10.64898/2026.04.23.720294,2,bioinformatics,"Semi supervised GAN for smart microscopy, fast and data efficient cell cycle classification","Manick, R.; El Habouz, Y.; Guillout, M.; Martin, C.; Bonnet, J.; Ruel, L.; Pastezeur, S.; Chanteux, O.; Bouchareb, O.; Tramier, M.; Pecreaux, J."
2026-05-04,19,10.1101/2024.03.15.585250,4,bioinformatics,Celldetective: an AI-enhanced image analysis tool for unraveling dynamic cell interactions,"Torro, R.; Diaz Bello, B.; El Arawi, D.; Dervanova, K.; Ammer, L.; Dupuy, F.; Chames, P.; Sengupta, K.; Limozin, L."
